Year, month, day, PRCP, Tmax, Tmin,ID,LAT,LONG,State,DUNNO,DUNNO2
2000,1,1,0,10.6,-8.3,USH00186620,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,2,0,18.3,0,USH00186621,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,3,0,17.2,7.2,USH00186622,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,4,0.71,15.6,5,USH00186623,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,5,0.43,5,-4.4,USH00186624,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,6,0,5.6,-10.6,USH00186625,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,7,0,5,-8.9,USH00186626,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,8,0,3.9,-9.4,USH00186627,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,9,0,7.8,-1.7,USH00186628,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,10,0.94,11.7,-1.1,USH00186629,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,11,0.25,4.4,-0.6,USH00186630,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,12,0,7.8,-3.9,USH00186631,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,13,0.74,8.9,1.7,USH00186632,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,14,0.13,-5,-12.2,USH00186633,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,15,0,2.2,-16.7,USH00186634,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,16,0,7.8,-1.1,USH00186635,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,17,0,1.1,-14.4,USH00186636,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,18,0.08,-5.6,-10.6,USH00186637,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,19,0.15,-3.9,-7.8,USH00186638,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,20,0.97,-4.4,-7.2,USH00186639,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,21,0.3,-6.7,-15,USH00186640,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,22,0,-10,-17.8,USH00186641,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,23,0,-0.6,-10.6,USH00186642,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,24,0,-1.7,-3.9,USH00186643,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,25,0,-3.9,-11.1,USH00186644,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,26,0.23,-7.8,-13.9,USH00186645,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,27,0.13,-8.3,-15.6,USH00186646,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,28,0,-8.9,-16.7,USH00186647,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,29,0,-1.1,-23.3,USH00186648,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,30,0.56,0.6,-5,USH00186649,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,1,31,0.28,-1.1,-8.3,USH00186650,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,1,0.18,-5.6,-7.2,USH00186651,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,2,0.25,-4.4,-10,USH00186652,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,3,0,0.6,-10,USH00186653,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,4,0.43,-1.1,-3.9,USH00186654,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,5,0.18,-3.3,-8.9,USH00186655,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,6,0,-2.2,-7.2,USH00186656,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,7,0,1.7,-8.3,USH00186657,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,8,0,1.7,-15,USH00186658,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,9,0,8.9,-15,USH00186659,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
2000,2,10,0,11.1,-2.8,USH00186660,39.4133,-79.4,MD, 737.6 MD OAKLAND 1 SE,5
