Year, month, day, PRCP, Tmax, Tmin,ID,LAT,LONG,State,DUNNO,DUNNO2
2000,1,1,0,3.3,-6.1,USH00194105,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,2,0,9.4,-3.3,USH00194106,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,3,0.1,13.9,1.1,USH00194107,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,4,0.38,16.7,0,USH00194108,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,5,2.36,16.7,-1.7,USH00194109,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,6,0,1.1,-10.6,USH00194110,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,7,0,2.2,-10.6,USH00194111,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,8,0,7.2,-3.9,USH00194112,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,9,0,4.4,-3.9,USH00194113,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,10,0,8.9,1.1,USH00194114,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,11,1.85,11.1,3.3,USH00194115,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,12,0,13.3,1.1,USH00194116,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,13,0,5.6,-5,USH00194117,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,14,0.36,-1.7,-16.7,USH00194118,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,15,0,-8.3,-17.2,USH00194119,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,16,0,-2.8,-6.7,USH00194120,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,17,0,3.3,-18.3,USH00194121,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,18,0,-12.8,-20.6,USH00194122,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,19,0,-6.1,-6.7,USH00194123,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,20,0,-5.6,-15,USH00194124,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,21,0,-6.1,-12.2,USH00194125,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,22,0,-8.3,-19.4,USH00194126,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,23,0,-10.6,-20,USH00194127,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,24,0,-5.6,-20,USH00194128,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,25,0,2.2,-10.6,USH00194129,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,26,0.97,0,-6.7,USH00194130,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,27,0,0,-12.8,USH00194131,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,28,0,-6.7,-16.1,USH00194132,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,29,0,-8.3,-16.7,USH00194133,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,30,0,0.6,-16.7,USH00194134,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,1,31,0.64,8.3,-13.9,USH00194135,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,1,0,3.9,-3.9,USH00194136,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,2,0,2.2,-10,USH00194137,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,3,0,-5,-12.2,USH00194138,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,4,0,-0.6,-9.4,USH00194139,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,5,0,0,-11.1,USH00194140,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,6,0,2.8,-12.8,USH00194141,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,7,0,1.1,-8.3,USH00194142,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,8,0,6.1,-12.8,USH00194143,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,9,0,-1.1,-10,USH00194144,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,10,0,7.2,NA,USH00194145,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,11,0.25,5.6,-2.2,USH00194146,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,12,0.18,3.9,-9.4,USH00194147,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,13,0,-0.6,-14.4,USH00194148,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,14,2.16,4.4,-10.6,USH00194149,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,15,1.37,5,-3.3,USH00194150,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,16,0,3.3,-3.9,USH00194151,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,17,0,7.2,-8.9,USH00194152,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,18,0,-2.8,-7.8,USH00194153,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,19,0,-0.6,-2.8,USH00194154,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,20,0.38,1.7,-5.6,USH00194155,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,21,0,2.8,-3.9,USH00194156,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,22,0,5,-5,USH00194157,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,23,0,8.9,-2.2,USH00194158,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,24,0.05,12.2,5,USH00194159,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,25,0.84,16.1,1.7,USH00194160,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,26,1.78,5,1.1,USH00194161,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,27,0,7.2,0.6,USH00194162,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,28,0.51,16.1,6.1,USH00194163,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,2,29,0.28,8.3,0.6,USH00194164,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,1,0,8.3,2.2,USH00194165,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,2,0.1,11.1,4.4,USH00194166,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,3,0,8.9,0.6,USH00194167,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,4,0,7.2,NA,USH00194168,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,5,0,10,-1.7,USH00194169,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,6,0,9.4,0.6,USH00194170,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,7,0,9.4,1.1,USH00194171,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,8,0,16.7,3.9,USH00194172,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,9,0,13.9,7.2,USH00194173,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
2000,3,10,0.3,24.4,0.6,USH00194174,42.6992,-71.1658,MA,15.2 MA LAWRENCE,5
