Year, month, day, PRCP, Tmax, Tmin,ID,LAT,LONG,State,DUNNO,DUNNO2
2000,1,1,0,4.4,-9.4,USH00281582,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,2,0,10,-6.7,USH00281583,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,3,0,13.9,0.6,USH00281584,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,4,0,15.6,5.6,USH00281585,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,5,1.68,17.2,-4.4,USH00281586,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,6,0,1.1,-12.2,USH00281587,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,7,0,4.4,-11.7,USH00281588,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,8,0,7.8,-6.7,USH00281589,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,9,0,4.4,-6.7,USH00281590,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,10,0.08,12.2,-1.1,USH00281591,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,11,2.36,10.6,-1.1,USH00281592,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,12,0,8.9,-0.6,USH00281593,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,13,0,7.2,-3.9,USH00281594,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,14,0.38,-2.2,-15.6,USH00281595,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,15,0,-7.8,-19.4,USH00281596,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,16,0,-1.7,-13.9,USH00281597,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,17,0,5.6,-18.9,USH00281598,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,18,0,-9.4,-20.6,USH00281599,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,19,0,-8.9,-15,USH00281600,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,20,0,-2.2,-13.3,USH00281601,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,21,0.58,-3.9,-15.6,USH00281602,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,22,0,-10,-18.3,USH00281603,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,23,0,-7.8,-16.1,USH00281604,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,24,0,-3.9,-13.3,USH00281605,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,25,0.97,4.4,-8.9,USH00281606,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,26,1.85,-2.8,-10,USH00281607,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,27,0,-1.1,-15.6,USH00281608,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,28,0,-7.8,-17.8,USH00281609,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,29,0,-6.1,-15.6,USH00281610,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,30,0,4.4,-19.4,USH00281611,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,1,31,1.98,3.3,-18.9,USH00281612,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,1,0,1.1,-9.4,USH00281613,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,2,0,1.7,-10,USH00281614,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,3,0,-2.2,-13.3,USH00281615,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,4,0.41,-1.1,-9.4,USH00281616,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,5,0,-0.6,-8.9,USH00281617,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,6,0,1.7,-11.1,USH00281618,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,7,0,2.8,-9.4,USH00281619,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,8,0,4.4,-13.9,USH00281620,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,9,0,1.7,-16.7,USH00281621,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,10,0,7.2,-11.7,USH00281622,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,11,0.05,9.4,-6.7,USH00281623,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,12,0.3,10,-10.6,USH00281624,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,13,0,1.7,-15.6,USH00281625,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,14,2.21,2.2,-13.9,USH00281626,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,15,1.12,7.8,-4.4,USH00281627,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,16,0,3.9,-8.3,USH00281628,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,17,0,7.8,-8.3,USH00281629,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,18,0,-0.6,-9.4,USH00281630,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,19,1.65,0,-5.6,USH00281631,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,20,0,0,-6.1,USH00281632,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,21,0,2.8,-6.7,USH00281633,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,22,0,6.1,-10.6,USH00281634,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,23,0,11.1,-7.8,USH00281635,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,24,0,10.6,-6.1,USH00281636,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,25,0,17.8,-1.1,USH00281637,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,26,0.64,7.2,-6.1,USH00281638,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,27,0.05,5.6,-0.6,USH00281639,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
2000,2,28,1.04,12.2,0,USH00281640,41.0347,-74.4233,NJ,231.6 NJ CHARLOTTEBURG RSVR,5
