State, Year, Drought$, Wet$, Droughtprop, wetprop
 2 , 1989 , 0 , 0 ,-1.#IND ,-1.#IND 
 2 , 1990 , 0 , 0 ,-1.#IND ,-1.#IND 
 2 , 1991 , 0 , 0 ,-1.#IND ,-1.#IND 
 2 , 1992 , 0 , 0 ,-1.#IND ,-1.#IND 
 2 , 1993 , 0 , 0 , 0 , 0 
 2 , 1994 , 0 , 0 , 0 , 0 
 2 , 1995 , 0 , 0 , 0 , 0 
 2 , 1996 , 16772 , 0 , 4.872083E-02 , 0 
 2 , 1997 , 38641 , 0 , .1865696 , 0 
 2 , 1998 , 63924 , 94 , .1519565 , 2.234515E-04 
 2 , 1999 , 8107 , 0 , 2.037334E-02 , 0 
 2 , 2000 , 0 , 15763 , 0 , 9.169973E-02 
 2 , 2001 , 0 , 15648 , 0 , 2.953417E-02 
 2 , 2002 , 0 , 52411 , 0 , 9.337281E-02 
 2 , 2003 , 17337 , 0 , 2.994813E-02 , 0 
 2 , 2004 , 12989 , 0 , 2.323356E-02 , 0 
 2 , 2005 , 0 , 0 , 0 , 0 
 2 , 2006 , 0 , 0 , 0 , 0 
 2 , 2007 , 0 , 0 , 0 , 0 
 2 , 2008 , 0 , 32613.8 , 0 , 8.307979E-02 
 2 , 2009 , 0 , 3626 , 0 , 8.396823E-03 
 2 , 2010 , 0 , 0 , 0 , 0 
 2 , 2011 , 2449.1 , 0 , 4.872047E-03 , 0 
 2 , 2012 , 0 , 0 , 0 , 0 
 2 , 2013 , 85169 , 164842 , .1610965 , .3117974 
 2 , 2014 , 14975 , 9386.8 , 2.597198E-02 , 1.628005E-02 
 2 , 2015 , 61674 , 0 , 8.900119E-02 , 0 
 2 , 2016 , 5691 , 5691 , 8.65986E-03 , 8.65986E-03 
 2 , 2017 , 0 , 13953 , 0 , 2.197866E-02 
 2 , 2018 , 0 , 75201.5 , 0 , 9.481683E-02 
