State, Year, Drought$, Wet$, Droughtprop, wetprop
 42 , 1989 , 235604 , 1666633 , 6.513702E-03 , 4.607711E-02 
 42 , 1990 , 62538 , 736258 , 2.492679E-03 , 2.934624E-02 
 42 , 1991 , 5684967 , 4783 , .3224838 , 2.713191E-04 
 42 , 1992 , 16264 , 1492045 , 7.087109E-04 , 6.501651E-02 
 42 , 1993 , 3522069 , 265773 , .150162 , 1.133112E-02 
 42 , 1994 , 617268 , 296212 , 2.402785E-02 , 1.153038E-02 
 42 , 1995 , 4419057 , 220704 , 6.125464E-02 , 3.059282E-03 
 42 , 1996 , 3726 , 1362312 , 4.98429E-05 , 1.822372E-02 
 42 , 1997 , 8511759 , 328797 , .1108855 , 4.283347E-03 
 42 , 1998 , 3300657 , 404379 , 4.153904E-02 , 5.089143E-03 
 42 , 1999 , 1.897414E+07 , 278797 , .2163739 , 3.179295E-03 
 42 , 2000 , 189328 , 3528228 , 1.421106E-03 , 2.648307E-02 
 42 , 2001 , 1.472372E+07 , 129986 , 9.656058E-02 , 8.524695E-04 
 42 , 2002 , 5.49742E+07 , 625739 , .294988 , 3.357675E-03 
 42 , 2003 , 112252 , 2.051467E+07 , 5.314482E-04 , 9.712507E-02 
 42 , 2004 , 77650 , 1.055341E+07 , 3.276398E-04 , 4.452951E-02 
 42 , 2005 , 1.105077E+07 , 426305.2 , 5.292005E-02 , 2.041495E-03 
 42 , 2006 , 5463886 , 6227643 , 2.541544E-02 , 2.896809E-02 
 42 , 2007 , 2.132052E+07 , 419618.6 , 7.104022E-02 , 1.398174E-03 
 42 , 2008 , 1.273775E+07 , 7411997 , 3.350015E-02 , 1.949347E-02 
 42 , 2009 , 804171 , 1.709435E+07 , 2.228117E-03 , 4.736333E-02 
 42 , 2010 , 1.783052E+07 , 1653080 , 4.846716E-02 , 4.493424E-03 
 42 , 2011 , 4.047803E+07 , 1.46738E+07 , 7.724424E-02 , 2.800202E-02 
 42 , 2012 , 1.170645E+07 , 1899177 , 2.196531E-02 , 3.563506E-03 
 42 , 2013 , 2270706 , 7456851 , 3.978098E-03 , 1.306381E-02 
 42 , 2014 , 2319872 , 1.301348E+07 , 4.585508E-03 , 2.572272E-02 
 42 , 2015 , 4475290 , 1.497828E+07 , 9.533147E-03 , 3.190634E-02 
 42 , 2016 , 2.805326E+07 , 1668643 , 6.323876E-02 , 3.761521E-03 
 42 , 2017 , 1592471 , 7999485 , 3.40228E-03 , 1.709073E-02 
 42 , 2018 , 381451.8 , 2.001103E+07 , 8.071735E-04 , 4.234447E-02 
