State, Year, Drought$, Wet$, Droughtprop, wetprop
 24 , 1989 , 12967 , 691789 , 6.642995E-04 , 3.544036E-02 
 24 , 1990 , 109771 , 97255 , 6.176873E-03 , 5.472591E-03 
 24 , 1991 , 1529719 , 20180 , .1060295 , 1.398737E-03 
 24 , 1992 , 192455 , 177013 , 1.163803E-02 , 1.070423E-02 
 24 , 1993 , 3102649 , 34340 , .2087434 , 2.310364E-03 
 24 , 1994 , 314216 , 37171 , 1.357007E-02 , 1.605307E-03 
 24 , 1995 , 1786317 , 34159 , 3.465009E-02 , 6.625992E-04 
 24 , 1996 , 0 , 545789 , 0 , 1.086946E-02 
 24 , 1997 , 6430351 , 139397 , .1255374 , 2.721396E-03 
 24 , 1998 , 2137830 , 136611 , 3.273312E-02 , 2.091702E-03 
 24 , 1999 , 7201649 , 161212 , .1078779 , 2.414892E-03 
 24 , 2000 , 6075 , 632079 , 8.906476E-05 , 9.266824E-03 
 24 , 2001 , 2767316 , 661702 , 3.818927E-02 , 9.13156E-03 
 24 , 2002 , 2.1815E+07 , 89521 , .2558808 , 1.050044E-03 
 24 , 2003 , 9571 , 1.059476E+07 , 9.105499E-05 , .1007947 
 24 , 2004 , 244159 , 1334499 , 1.930813E-03 , 1.055324E-02 
 24 , 2005 , 3267613 , 693758.4 , 2.893411E-02 , 6.143103E-03 
 24 , 2006 , 3232849 , 972486.6 , 2.676567E-02 , 8.051492E-03 
 24 , 2007 , 3.394028E+07 , 368855.8 , .1882339 , 2.045686E-03 
 24 , 2008 , 2.146154E+07 , 1164258 , 8.435755E-02 , 4.576277E-03 
 24 , 2009 , 711037.8 , 5588540 , 2.951342E-03 , 2.319665E-02 
 24 , 2010 , 2.92773E+07 , 2403284 , .1284386 , 1.054313E-02 
 24 , 2011 , 2.400977E+07 , 1027566 , 6.597191E-02 , 2.823454E-03 
 24 , 2012 , 2.161789E+07 , 1331010 , 6.027728E-02 , 3.711262E-03 
 24 , 2013 , 1094711 , 8758180 , 2.831761E-03 , 2.265536E-02 
 24 , 2014 , 1003129 , 1790626 , 3.072984E-03 , 5.485401E-03 
 24 , 2015 , 2557921 , 2932467 , 8.728652E-03 , 1.000675E-02 
 24 , 2016 , 4712035 , 3324604 , 1.744237E-02 , 1.230657E-02 
 24 , 2017 , 536959.3 , 2064272 , 1.830072E-03 , 7.035478E-03 
 24 , 2018 , 991299.1 , 1.357396E+07 , 3.352823E-03 , 4.591054E-02 
