State, Year, Drought$, Wet$, Droughtprop, wetprop
 31 , 1989 , 4.237552E+07 , 526918 , 4.591934E-02 , 5.709836E-04 
 31 , 1990 , 5020676 , 3290883 , 5.956949E-03 , 3.904578E-03 
 31 , 1991 , 1.48002E+07 , 2114496 , 1.886812E-02 , 2.695677E-03 
 31 , 1992 , 1348799 , 4162987 , 1.703214E-03 , 5.256868E-03 
 31 , 1993 , 41773 , 3.337629E+07 , 5.292742E-05 , 4.228858E-02 
 31 , 1994 , 1021758 , 1822789 , 1.061276E-03 , 1.893288E-03 
 31 , 1995 , 1.826777E+07 , 2.400696E+07 , 1.210672E-02 , 1.591029E-02 
 31 , 1996 , 1482080 , 1.097655E+07 , 7.299416E-04 , 5.406078E-03 
 31 , 1997 , 6432149 , 4932144 , 3.466879E-03 , 2.658388E-03 
 31 , 1998 , 1882196 , 1.227388E+07 , 9.49548E-04 , 6.192043E-03 
 31 , 1999 , 5762459 , 1.97894E+07 , 3.056894E-03 , 1.049797E-02 
 31 , 2000 , 1.055447E+08 , 3820156 , 4.858648E-02 , 1.758572E-03 
 31 , 2001 , 2.445508E+07 , 7796163 , 1.046855E-02 , 3.337323E-03 
 31 , 2002 , 2.931607E+08 , 2108855 , .1243799 , 8.947283E-04 
 31 , 2003 , 1.454375E+08 , 3442966 , 5.588946E-02 , 1.32308E-03 
 31 , 2004 , 5.673471E+07 , 5012663 , 1.831414E-02 , 1.618103E-03 
 31 , 2005 , 3.599686E+07 , 8026394 , 1.321191E-02 , 2.945923E-03 
 31 , 2006 , 9.380598E+07 , 793652.7 , 3.146108E-02 , 2.661789E-04 
 31 , 2007 , 1.588552E+07 , 1.633037E+07 , 3.374616E-03 , 3.469117E-03 
 31 , 2008 , 3.410223E+07 , 8.670378E+07 , 5.152777E-03 , 1.310076E-02 
 31 , 2009 , 4056193 , 1.68496E+07 , 7.451196E-04 , 3.095259E-03 
 31 , 2010 , 1941527 , 6.773164E+07 , 3.554663E-04 , 1.240071E-02 
 31 , 2011 , 1.032864E+07 , 6.257199E+07 , 1.196319E-03 , 7.247426E-03 
 31 , 2012 , 1.222409E+09 , 4114600 , .1400338 , 4.713504E-04 
 31 , 2013 , 2.692284E+08 , 8503256 , 2.883261E-02 , 9.106434E-04 
 31 , 2014 , 4.604003E+07 , 2.325075E+07 , .0058692 , 2.964014E-03 
 31 , 2015 , 1.765706E+07 , 5.468733E+07 , 2.466725E-03 , 7.639925E-03 
 31 , 2016 , 1.203294E+07 , 2.35691E+07 , 1.782958E-03 , 3.492306E-03 
 31 , 2017 , 3.884728E+07 , 1.25425E+07 , 5.353149E-03 , 1.728354E-03 
 31 , 2018 , 1.125367E+07 , 2.711251E+07 , 1.523006E-03 , 3.669248E-03 
