State, Year, Drought$, Wet$, Droughtprop, wetprop
 30 , 1989 , 1.467785E+07 , 2337049 , .0454357 , 7.234402E-03 
 30 , 1990 , 2.944783E+07 , 482593 , 8.533008E-02 , 1.398395E-03 
 30 , 1991 , 1483443 , 345468 , 5.280339E-03 , 1.229699E-03 
 30 , 1992 , 3.788527E+07 , 399745 , .1338517 , 1.412331E-03 
 30 , 1993 , 342509 , 1241270 , 1.236334E-03 , 4.480535E-03 
 30 , 1994 , 5606586 , 68882 , 2.014786E-02 , 2.475347E-04 
 30 , 1995 , 2384033 , 1655492 , 6.594954E-03 , 4.57959E-03 
 30 , 1996 , 1.064327E+07 , 681282 , .0258045 , 1.651761E-03 
 30 , 1997 , 3800364 , 987030 , 9.445538E-03 , 2.453194E-03 
 30 , 1998 , 1.81138E+07 , 383075 , 4.491872E-02 , 9.499518E-04 
 30 , 1999 , 1.915143E+07 , 2541742 , 4.518995E-02 , 5.997526E-03 
 30 , 2000 , 4.543605E+07 , 436415 , .1099897 , 1.056456E-03 
 30 , 2001 , 1.337102E+08 , 1073080 , .2921239 , 2.344416E-03 
 30 , 2002 , 1.090939E+08 , 3278743 , .192688 , 5.791106E-03 
 30 , 2003 , 4.209946E+07 , 276792 , 7.223268E-02 , 4.749093E-04 
 30 , 2004 , 3.253E+07 , 2753101 , 5.590883E-02 , 4.731714E-03 
 30 , 2005 , 7309317 , 1206640 , 1.096384E-02 , 1.809938E-03 
 30 , 2006 , 4.194275E+07 , 211312 , 6.619014E-02 , 3.334729E-04 
 30 , 2007 , 2.363199E+07 , 1938472 , 3.230802E-02 , 2.650145E-03 
 30 , 2008 , 7.524888E+07 , 2651343 , 7.217024E-02 , 2.542869E-03 
 30 , 2009 , 3.058231E+07 , 3783739 , .0279769 , 3.46139E-03 
 30 , 2010 , 726604.3 , 9100055 , 9.037393E-04 , 1.131851E-02 
 30 , 2011 , 5344865 , 1.132681E+08 , 4.363344E-03 , 9.246776E-02 
 30 , 2012 , 5.253615E+07 , 1505587 , 4.074809E-02 , 1.167763E-03 
 30 , 2013 , 1.023191E+07 , 1.576847E+07 , 7.685653E-03 , 1.184442E-02 
 30 , 2014 , 1.202681E+07 , 1.516076E+07 , 1.060229E-02 , 1.336503E-02 
 30 , 2015 , 3.81986E+07 , 609716.8 , 3.530758E-02 , 5.635711E-04 
 30 , 2016 , 1.407524E+07 , 8605113 , 1.408121E-02 , 8.608762E-03 
 30 , 2017 , 2.067155E+08 , 3557441 , .2029034 , 3.491837E-03 
 30 , 2018 , 3.506483E+07 , 1.425046E+07 , .0312088 , 1.268336E-02 
