State, Year, Drought$, Wet$, Droughtprop, wetprop
 22 , 1989 , 3449042 , 3.263197E+07 , 2.672837E-02 , .2528816 
 22 , 1990 , 8567568 , 1.497684E+07 , .0594773 , .1039714 
 22 , 1991 , 1029956 , 4.049913E+07 , 8.043987E-03 , .3162994 
 22 , 1992 , 2888119 , 1.307217E+07 , 2.403879E-02 , .1088041 
 22 , 1993 , 4621532 , 1.077899E+07 , 4.724835E-02 , .1101993 
 22 , 1994 , 137654 , 1.070734E+07 , 1.28193E-03 , 9.971419E-02 
 22 , 1995 , 3660794 , 4880311 , 1.107055E-02 , 1.475847E-02 
 22 , 1996 , 452928 , 3035569 , 1.586739E-03 , 1.063448E-02 
 22 , 1997 , 916787 , 5359241 , 3.307908E-03 , 1.933696E-02 
 22 , 1998 , 1.426673E+07 , 2359059 , 4.212101E-02 , 6.964871E-03 
 22 , 1999 , 1.075943E+07 , 1.033426E+07 , 2.867776E-02 , 2.754453E-02 
 22 , 2000 , 1.897674E+07 , 1.043969E+07 , 4.723542E-02 , 2.598566E-02 
 22 , 2001 , 1487647 , 5.50878E+07 , 3.201918E-03 , .1185675 
 22 , 2002 , 1.132196E+07 , 2.526063E+07 , 3.047383E-02 , 6.799071E-02 
 22 , 2003 , 5383139 , 2.119193E+07 , 1.434222E-02 , 5.646136E-02 
 22 , 2004 , 1702894 , 2.600678E+07 , 4.221065E-03 , 6.446455E-02 
 22 , 2005 , 6303292 , 6419627 , 1.716735E-02 , .0174842 
 22 , 2006 , 1.000953E+07 , 3565890 , .0258585 , 9.212077E-03 
 22 , 2007 , 5311798 , 8688524 , 1.086258E-02 , 1.776796E-02 
 22 , 2008 , 4021910 , 1.229949E+07 , 6.633642E-03 , 2.028648E-02 
 22 , 2009 , 1.510058E+07 , 3.273569E+07 , 2.201132E-02 , 4.771709E-02 
 22 , 2010 , 8899671 , 1.312669E+07 , 1.244405E-02 , 1.835451E-02 
 22 , 2011 , 3.452189E+07 , 1.18276E+07 , 3.518257E-02 , 1.205396E-02 
 22 , 2012 , 5915572 , 1.377632E+07 , 6.164372E-03 , 1.435573E-02 
 22 , 2013 , 5282350 , 1.626566E+07 , 4.76292E-03 , 1.466621E-02 
 22 , 2014 , 757780.6 , 2.390531E+07 , 7.509135E-04 , 2.368868E-02 
 22 , 2015 , 1.27373E+07 , 5.264883E+07 , 1.427915E-02 , 5.902199E-02 
 22 , 2016 , 424974.8 , 9.029629E+07 , 4.483615E-04 , 9.526536E-02 
 22 , 2017 , 2159924 , 3.767115E+07 , 2.210384E-03 , 3.855122E-02 
 22 , 2018 , 7783140 , 5.438241E+07 , 7.129794E-03 , 4.981735E-02 
