State, Year, Drought$, Wet$, Droughtprop, wetprop
 38 , 1989 , 1.124747E+08 , 307521 , .1333891 , 3.647037E-04 
 38 , 1990 , 6.327676E+07 , 697374 , 6.266341E-02 , 6.906142E-04 
 38 , 1991 , 1.61148E+07 , 4442027 , 1.829605E-02 , 5.043285E-03 
 38 , 1992 , 5428157 , 5027919 , 6.82197E-03 , 6.31896E-03 
 38 , 1993 , 164068 , 1.127135E+08 , 2.11052E-04 , .1449911 
 38 , 1994 , 2410133 , 3.35669E+07 , 2.783002E-03 , .03876 
 38 , 1995 , 1668503 , 8.93458E+07 , 1.442814E-03 , 7.726048E-02 
 38 , 1996 , 3536046 , 3.676913E+07 , 2.649744E-03 , 2.755303E-02 
 38 , 1997 , 4.394924E+07 , 7.749254E+07 , 3.237695E-02 , 5.708794E-02 
 38 , 1998 , 7683057 , 6.166707E+07 , 5.716246E-03 , 4.588071E-02 
 38 , 1999 , 3483740 , 3.526595E+08 , 2.140344E-03 , .2166674 
 38 , 2000 , 1.094696E+07 , 1.716654E+08 , 6.74451E-03 , .1057644 
 38 , 2001 , 4598881 , 2.063013E+08 , 2.754989E-03 , .1235861 
 38 , 2002 , 1.254388E+08 , 1.295619E+08 , 7.104953E-02 , .0733849 
 38 , 2003 , 5.496194E+07 , 8.837098E+07 , 2.724415E-02 , 4.380472E-02 
 38 , 2004 , 3.900164E+07 , 2.23641E+08 , 1.703945E-02 , 9.770663E-02 
 38 , 2005 , 3132210 , 1.837893E+08 , 1.54157E-03 , 9.045501E-02 
 38 , 2006 , 1.947592E+08 , 7.15165E+07 , 8.146681E-02 , .029915 
 38 , 2007 , 1.187624E+07 , 1.689196E+08 , 3.676226E-03 , 5.228815E-02 
 38 , 2008 , 4.345265E+08 , 1.264174E+08 , 7.502938E-02 , .0218284 
 38 , 2009 , 1.074279E+07 , 4.218159E+08 , 2.626749E-03 , .1031393 
 38 , 2010 , 2593302 , 3.79012E+08 , 6.486811E-04 , 9.480497E-02 
 38 , 2011 , 1866899 , 1.504031E+09 , 3.054975E-04 , .2461181 
 38 , 2012 , 1.1326E+08 , 6.108702E+07 , 1.783245E-02 , 9.61797E-03 
 38 , 2013 , 2.120646E+08 , 7.859069E+08 , 3.260906E-02 , .1208485 
 38 , 2014 , 8174049 , 3.983812E+08 , 1.475091E-03 , 7.189195E-02 
 38 , 2015 , 4.79581E+07 , 1.437949E+08 , 9.34933E-03 , 2.803251E-02 
 38 , 2016 , 3.030254E+07 , 1.332397E+08 , 6.097581E-03 , 2.681095E-02 
 38 , 2017 , 3.967121E+08 , 8.456566E+07 , 7.175823E-02 , 1.529644E-02 
 38 , 2018 , 1.265697E+08 , 6.601716E+07 , 2.158735E-02 , 1.125969E-02 
