State, Year, Drought$, Wet$, Droughtprop, wetprop
 27 , 1989 , 2.891674E+07 , 611418 , 2.285442E-02 , 4.832358E-04 
 27 , 1990 , 1.402691E+07 , 5529636 , 1.085529E-02 , 4.279331E-03 
 27 , 1991 , 1.174721E+07 , 2.796894E+07 , 1.095875E-02 , 2.609169E-02 
 27 , 1992 , 1504530 , 1.959524E+07 , 1.452337E-03 , 1.891547E-02 
 27 , 1993 , 168676 , 2.698175E+08 , 1.641435E-04 , .2625672 
 27 , 1994 , 1061064 , 4.21111E+07 , 6.903776E-04 , 2.739944E-02 
 27 , 1995 , 2028845 , 5.294482E+07 , 1.070594E-03 , 2.793827E-02 
 27 , 1996 , 8492014 , 1.89093E+07 , 3.707927E-03 , .0082565 
 27 , 1997 , 3047729 , 3.810373E+07 , 1.394288E-03 , 1.743186E-02 
 27 , 1998 , 2418145 , 3.630278E+07 , 1.014585E-03 , 1.523161E-02 
 27 , 1999 , 2646649 , 9.589577E+07 , 1.128364E-03 , 4.088389E-02 
 27 , 2000 , 1.244713E+07 , 4.199253E+07 , 4.842819E-03 , 1.633808E-02 
 27 , 2001 , 5.063193E+07 , 1.159022E+08 , 1.887872E-02 , 4.321552E-02 
 27 , 2002 , 9114743 , 8.685795E+07 , 3.320665E-03 , 3.164391E-02 
 27 , 2003 , 1.189795E+08 , 1.193882E+07 , 3.981321E-02 , 3.994997E-03 
 27 , 2004 , 4179863 , 1.476025E+08 , 1.168075E-03 , 4.124795E-02 
 27 , 2005 , 1.207948E+07 , 1.072791E+08 , 3.934355E-03 , 3.494141E-02 
 27 , 2006 , 6.603725E+07 , 7469644 , 1.890551E-02 , 2.138451E-03 
 27 , 2007 , 1.776683E+08 , 2.816178E+07 , 3.277213E-02 , 5.194633E-03 
 27 , 2008 , 2.304197E+08 , 6.383959E+07 , 2.969997E-02 , 8.22861E-03 
 27 , 2009 , 1.985947E+07 , 1.155537E+08 , 3.287556E-03 , 1.912887E-02 
 27 , 2010 , 1279049 , 5.388858E+07 , 2.08936E-04 , 8.802842E-03 
 27 , 2011 , 3.342511E+07 , 2.985693E+08 , 3.534696E-03 , 3.157362E-02 
 27 , 2012 , 1.638534E+08 , 2.457176E+07 , .016342 , 2.450677E-03 
 27 , 2013 , 3.85381E+08 , 5.128611E+08 , .0373386 , 4.968982E-02 
 27 , 2014 , 4.388509E+07 , 8.436382E+08 , 5.015244E-03 , 9.641205E-02 
 27 , 2015 , 6948219 , 4.387771E+07 , 8.731628E-04 , 5.513986E-03 
 27 , 2016 , 1897606 , 7.476154E+07 , 2.518129E-04 , 9.920878E-03 
 27 , 2017 , 4.502117E+07 , 5.512534E+07 , 5.545834E-03 , 6.790494E-03 
 27 , 2018 , 2.583897E+07 , 2.617912E+08 , 3.122655E-03 , 3.163762E-02 
