State, Year, Drought$, Wet$, Droughtprop, wetprop
 12 , 1989 , 615194 , 3787309 , 5.388167E-03 , 3.317109E-02 
 12 , 1990 , 6092823 , 461732 , 4.710627E-02 , 3.569851E-03 
 12 , 1991 , 468073 , 5159502 , 3.074232E-03 , 3.388682E-02 
 12 , 1992 , 209061 , 2745373 , 1.750403E-03 , 2.298616E-02 
 12 , 1993 , 2848694 , 3130917 , .0174327 , 1.915978E-02 
 12 , 1994 , 13006 , 6945208 , 5.968056E-05 , 3.186944E-02 
 12 , 1995 , 2949971 , 1.880794E+07 , 6.767167E-03 , 4.314499E-02 
 12 , 1996 , 1775281 , 8832658 , 2.756255E-03 , 1.371336E-02 
 12 , 1997 , 2944170 , 5899437 , 5.01556E-03 , 1.005002E-02 
 12 , 1998 , 5491303 , 1.051447E+07 , 5.960801E-03 , 1.141344E-02 
 12 , 1999 , 8242551 , 1.058781E+07 , 9.517522E-03 , 1.222555E-02 
 12 , 2000 , 1.531617E+07 , 6555153 , 2.066064E-02 , 8.842527E-03 
 12 , 2001 , 5339949 , 3.854778E+07 , 6.106933E-03 , 4.408445E-02 
 12 , 2002 , 2547069 , 2.620423E+07 , 3.069005E-03 , 3.157391E-02 
 12 , 2003 , 125462 , 3.013076E+07 , 1.680173E-04 , 4.035078E-02 
 12 , 2004 , 731535 , 1.957208E+07 , 9.753386E-04 , .026095 
 12 , 2005 , 591429.6 , 8981150 , 8.040524E-04 , 1.220993E-02 
 12 , 2006 , 6709966 , 1690104 , 8.849094E-03 , 2.228907E-03 
 12 , 2007 , 8615080 , 1.858282E+07 , 1.156698E-02 , 2.495009E-02 
 12 , 2008 , 4448442 , 5901913 , 5.526215E-03 , 7.331835E-03 
 12 , 2009 , 654296.1 , 3.167744E+07 , 8.12764E-04 , 3.934959E-02 
 12 , 2010 , 9359794 , 1.16724E+07 , 1.192544E-02 , 1.487196E-02 
 12 , 2011 , 1.508142E+07 , 6189279 , .0166504 , 6.833172E-03 
 12 , 2012 , 1316473 , 5.167819E+07 , 1.298831E-03 , 5.098566E-02 
 12 , 2013 , 303180.4 , 2.591098E+07 , 2.750809E-04 , 2.350949E-02 
 12 , 2014 , 4347334 , 1.483311E+07 , 4.047529E-03 , 1.381018E-02 
 12 , 2015 , 4394194 , 2.219675E+07 , 4.234678E-03 , 2.139097E-02 
 12 , 2016 , 4423449 , 1.95895E+07 , 4.492468E-03 , 1.989515E-02 
 12 , 2017 , 2971862 , 1.95407E+07 , 2.962078E-03 , 1.947637E-02 
 12 , 2018 , 521236 , 2.361055E+07 , 5.584816E-04 , 2.529767E-02 
