State, Year, Drought$, Wet$, Droughtprop, wetprop
 45 , 1989 , 123773 , 1481715 , 1.19731E-03 , 1.433327E-02 
 45 , 1990 , 5908288 , 138991 , 5.311283E-02 , 1.249466E-03 
 45 , 1991 , 322603 , 2882696 , 2.854692E-03 , 2.550878E-02 
 45 , 1992 , 723329 , 6241020 , 6.278789E-03 , 5.417458E-02 
 45 , 1993 , 9413145 , 70855 , 7.525723E-02 , 5.664793E-04 
 45 , 1994 , 837777 , 1050462 , 6.566067E-03 , 8.232983E-03 
 45 , 1995 , 1554598 , 6125382 , 7.963379E-03 , 3.137707E-02 
 45 , 1996 , 938656 , 1140479 , 4.856437E-03 , 5.900633E-03 
 45 , 1997 , 900257 , 1173416 , 4.618713E-03 , 6.020139E-03 
 45 , 1998 , 1.734497E+07 , 2276318 , 8.701352E-02 , 1.141947E-02 
 45 , 1999 , 2.092578E+07 , 2929761 , .1038234 , 1.453603E-02 
 45 , 2000 , 1.728737E+07 , 1185418 , 8.505329E-02 , 5.832217E-03 
 45 , 2001 , 1.295654E+07 , 2102467 , 6.192194E-02 , 1.004812E-02 
 45 , 2002 , 4.321884E+07 , 5606289 , .2111147 , 2.738552E-02 
 45 , 2003 , 216922 , 2.769437E+07 , 1.045408E-03 , .1334669 
 45 , 2004 , 2139126 , 7588328 , 9.057059E-03 , 3.212898E-02 
 45 , 2005 , 4142549 , 5553585 , 2.167012E-02 , .0290514 
 45 , 2006 , 4329374 , 4156857 , 2.019528E-02 , 1.939054E-02 
 45 , 2007 , 2.20175E+07 , 532819.6 , 8.826977E-02 , 2.136113E-03 
 45 , 2008 , 2.605907E+07 , 1304347 , 8.094615E-02 , 4.051636E-03 
 45 , 2009 , 6272577 , 1.362806E+07 , 2.063458E-02 , 4.483155E-02 
 45 , 2010 , 1.853843E+07 , 4272963 , 6.070829E-02 , 1.399279E-02 
 45 , 2011 , 5.486106E+07 , 608339.2 , .1159209 , 1.285415E-03 
 45 , 2012 , 6760685 , 5030805 , 1.451101E-02 , 1.079803E-02 
 45 , 2013 , 114809.9 , 5.165585E+07 , 2.421573E-04 , .1089526 
 45 , 2014 , 1.136928E+07 , 1.070562E+07 , 2.485137E-02 , 2.340072E-02 
 45 , 2015 , 4.485911E+07 , 7.054216E+07 , .1125314 , .1769586 
 45 , 2016 , 8125392 , 3.076945E+07 , .020259 , 7.671731E-02 
 45 , 2017 , 3156809 , 8143847 , 7.234522E-03 , 1.866342E-02 
 45 , 2018 , 6094928 , 1.969338E+07 , 1.346314E-02 , 4.350087E-02 
