State, Year, Drought$, Wet$, Droughtprop, wetprop
 15 , 1989 , 0 , 0 , 0 , 0 
 15 , 1990 , 0 , 0 , 0 , 0 
 15 , 1991 , 0 , 0 , 0 , 0 
 15 , 1992 , 0 , 0 , 0 , 0 
 15 , 1993 , 0 , 0 , 0 , 0 
 15 , 1994 , 0 , 0 , 0 , 0 
 15 , 1995 , 0 , 0 , 0 , 0 
 15 , 1996 , 30694 , 0 , 4.167204E-04 , 0 
 15 , 1997 , 0 , 12906 , 0 , 1.752726E-04 
 15 , 1998 , 0 , 0 , 0 , 0 
 15 , 1999 , 92969 , 0 , 9.342326E-04 , 0 
 15 , 2000 , 172342 , 303901 , 1.805475E-03 , 3.183702E-03 
 15 , 2001 , 1109656 , 413363 , 1.211183E-02 , 4.511832E-03 
 15 , 2002 , 727532 , 0 , 8.758994E-03 , 0 
 15 , 2003 , 0 , 214216 , 0 , 2.769055E-03 
 15 , 2004 , 520223 , 76071 , 7.211414E-03 , 1.054508E-03 
 15 , 2005 , 8359.8 , 159978.2 , 1.609413E-04 , 3.07987E-03 
 15 , 2006 , 0 , 170235 , 0 , 2.643541E-03 
 15 , 2007 , 0 , 4968 , 0 , 6.456686E-05 
 15 , 2008 , 401340 , 13401.35 , 5.003536E-03 , 1.670756E-04 
 15 , 2009 , 199991 , 140106 , 2.657459E-03 , 1.861713E-03 
 15 , 2010 , 625599.5 , 241183 , 7.682677E-03 , 2.961849E-03 
 15 , 2011 , 2552199 , 1137 , 3.119747E-02 , 1.389842E-05 
 15 , 2012 , 692099.6 , 59881 , 7.983656E-03 , 6.907522E-04 
 15 , 2013 , 855330 , 799 , 1.014431E-02 , 9.476227E-06 
 15 , 2014 , 1569665 , 0 , 1.785243E-02 , 0 
 15 , 2015 , 1365 , 304684.3 , 1.551741E-05 , 3.463671E-03 
 15 , 2016 , 327495.8 , 716 , .0037774 , 8.258483E-06 
 15 , 2017 , 61715.25 , 72422 , 7.006465E-04 , 8.22199E-04 
 15 , 2018 , 187442.1 , 0 , 2.027651E-03 , 0 
