State, Year, Drought$, Wet$, Droughtprop, wetprop
 41 , 1989 , 1213146 , 44871 , .0221545 , 8.194351E-04 
 41 , 1990 , 2517813 , 96635 , .043492 , 1.669246E-03 
 41 , 1991 , 3909822 , 448574 , 7.778926E-02 , 8.924765E-03 
 41 , 1992 , 5897852 , 19128 , .1200104 , 3.892196E-04 
 41 , 1993 , 3844 , 115411 , 7.392097E-05 , 2.219379E-03 
 41 , 1994 , 373147 , 9206 , 7.78768E-03 , 1.921317E-04 
 41 , 1995 , 77397 , 488039 , 5.338505E-04 , 3.366278E-03 
 41 , 1996 , 89388 , 93552 , 5.772036E-04 , 6.040917E-04 
 41 , 1997 , 7835 , 258723 , 5.668992E-05 , 1.871983E-03 
 41 , 1998 , 11674 , 255139 , 7.89528E-05 , 1.725539E-03 
 41 , 1999 , 1.251903E+07 , 89575 , 8.097785E-02 , 5.794052E-04 
 41 , 2000 , 1.615984E+07 , 437263 , .1005924 , 2.721891E-03 
 41 , 2001 , 2.517498E+07 , 1026026 , .1729616 , 7.049187E-03 
 41 , 2002 , 4.82726E+07 , 533576 , .2805382 , 3.100899E-03 
 41 , 2003 , 3.444033E+07 , 908022 , .1656993 , 4.368676E-03 
 41 , 2004 , 4821907 , 2140874 , 2.653898E-02 , 1.178302E-02 
 41 , 2005 , 1.980695E+07 , 2523900 , .1067741 , 1.360569E-02 
 41 , 2006 , 1710467 , 2299045 , 8.46488E-03 , 1.137768E-02 
 41 , 2007 , 8457865 , 790217.4 , 3.758687E-02 , 3.511737E-03 
 41 , 2008 , 2.461063E+07 , 784563.3 , 8.705912E-02 , 2.775361E-03 
 41 , 2009 , 4.116403E+07 , 2690093 , .1071804 , 7.004298E-03 
 41 , 2010 , 2850572 , 5269102 , 9.282847E-03 , 1.715876E-02 
 41 , 2011 , 69876.5 , 7001462 , 1.758353E-04 , 1.761829E-02 
 41 , 2012 , 1797367 , 1796888 , 4.351676E-03 , 4.350516E-03 
 41 , 2013 , 1.256318E+07 , 1380391 , 2.898206E-02 , 3.184431E-03 
 41 , 2014 , 2.510914E+07 , 1703452 , 6.326706E-02 , 4.292158E-03 
 41 , 2015 , 2.653721E+07 , 667399.3 , 6.875996E-02 , 1.729283E-03 
 41 , 2016 , 5826591 , 3987286 , 1.477369E-02 , 1.011002E-02 
 41 , 2017 , 952211.1 , 5360195 , 2.465532E-03 , 1.387899E-02 
 41 , 2018 , 5019551 , 998094.1 , 1.139799E-02 , 2.266392E-03 
