State, Year, Drought$, Wet$, Droughtprop, wetprop
 34 , 1989 , 1777 , 586802 , 4.306508E-04 , .1422098 
 34 , 1990 , 23684 , 68190 , 7.989777E-03 , 2.300384E-02 
 34 , 1991 , 105592 , 0 , 5.925563E-02 , 0 
 34 , 1992 , 315 , 14972 , 2.341456E-04 , 1.112898E-02 
 34 , 1993 , 222887 , 0 , .1266333 , 0 
 34 , 1994 , 10022 , 0 , 5.903176E-03 , 0 
 34 , 1995 , 857337 , 1446 , 5.642613E-02 , 9.516934E-05 
 34 , 1996 , 2347 , 67092 , 1.301295E-04 , 3.719918E-03 
 34 , 1997 , 399047 , 29250 , 1.712929E-02 , 1.255571E-03 
 34 , 1998 , 520780 , 6738 , 1.822918E-02 , 2.358543E-04 
 34 , 1999 , 2254315 , 181003 , 9.478694E-02 , 7.610614E-03 
 34 , 2000 , 124002 , 131102 , 4.611242E-03 , 4.875268E-03 
 34 , 2001 , 535966 , 132048 , 2.131688E-02 , 5.251921E-03 
 34 , 2002 , 2789693 , 71900 , 9.955893E-02 , 2.565977E-03 
 34 , 2003 , 0 , 1501200 , 0 , 5.456494E-02 
 34 , 2004 , 2791 , 702825 , 9.053954E-05 , 2.279952E-02 
 34 , 2005 , 896905.1 , 131435.1 , .0293029 , 4.294132E-03 
 34 , 2006 , 314785.3 , 198375.9 , 9.972558E-03 , 6.284649E-03 
 34 , 2007 , 1726107 , 9318 , .0431867 , 2.331337E-04 
 34 , 2008 , 2730156 , 38172.5 , 4.954665E-02 , 6.927514E-04 
 34 , 2009 , 15783 , 813500.3 , 2.713315E-04 , 1.398519E-02 
 34 , 2010 , 3642909 , 206228.5 , 6.132579E-02 , 3.471711E-03 
 34 , 2011 , 1010979 , 1033803 , 1.246497E-02 , 1.274639E-02 
 34 , 2012 , 1819610 , 277910 , 2.223893E-02 , 3.396563E-03 
 34 , 2013 , 182258.1 , 2957110 , 2.115399E-03 , 3.432203E-02 
 34 , 2014 , 701938.2 , 345738 , 9.193467E-03 , 4.52822E-03 
 34 , 2015 , 2998440 , 747267.6 , 4.405443E-02 , 1.097919E-02 
 34 , 2016 , 1904609 , 95124.7 , 2.840218E-02 , 1.418532E-03 
 34 , 2017 , 63384 , 782255.4 , 8.96186E-04 , .0110603 
 34 , 2018 , 856641.9 , 3357595 , 1.083959E-02 , 4.248562E-02 
