State, Year, Drought$, Wet$, Droughtprop, wetprop
 10 , 1989 , 6418 , 479776 , 6.488389E-04 , 4.850379E-02 
 10 , 1990 , 33165 , 44628 , 3.774715E-03 , 5.07939E-03 
 10 , 1991 , 76050 , 9044 , 1.288935E-02 , 1.532825E-03 
 10 , 1992 , 80445 , 10346 , .0140659 , 1.80901E-03 
 10 , 1993 , 954074 , 11998 , .1904874 , 2.395482E-03 
 10 , 1994 , 73851 , 7331 , 1.043798E-02 , 1.036151E-03 
 10 , 1995 , 1032268 , 10461 , 6.283379E-02 , 6.367574E-04 
 10 , 1996 , 9149 , 173443 , 5.892062E-04 , 1.116993E-02 
 10 , 1997 , 938302 , 6587 , 4.789498E-02 , 3.362289E-04 
 10 , 1998 , 490025 , 31802 , 2.505174E-02 , 1.625826E-03 
 10 , 1999 , 1383436 , 17873 , 6.958594E-02 , 8.990004E-04 
 10 , 2000 , 0 , 122926 , 0 , 5.384034E-03 
 10 , 2001 , 54123 , 220733 , 1.992491E-03 , 8.126091E-03 
 10 , 2002 , 5918337 , 55287 , .1854009 , 1.731949E-03 
 10 , 2003 , 0 , 3591081 , 0 , 8.863658E-02 
 10 , 2004 , 484390 , 229770 , 9.821062E-03 , 4.658612E-03 
 10 , 2005 , 2277498 , 245519.1 , 5.392632E-02 , 5.813371E-03 
 10 , 2006 , 1175276 , 210141.3 , 2.506424E-02 , 4.481528E-03 
 10 , 2007 , 1.60809E+07 , 48914.2 , .220711 , 6.713495E-04 
 10 , 2008 , 1.131201E+07 , 442688.9 , .1083705 , 4.241018E-03 
 10 , 2009 , 84982.88 , 2200726 , 8.785499E-04 , 2.275103E-02 
 10 , 2010 , 6350266 , 1505119 , 6.821299E-02 , 1.616762E-02 
 10 , 2011 , 7647411 , 92191.66 , 5.292721E-02 , 6.380522E-04 
 10 , 2012 , 1.278859E+07 , 31006 , 8.904903E-02 , 2.158998E-04 
 10 , 2013 , 91939.5 , 6828378 , 6.028172E-04 , 4.477143E-02 
 10 , 2014 , 127412.9 , 545822.1 , 1.009633E-03 , 4.325149E-03 
 10 , 2015 , 1256307 , 632232.9 , 1.111597E-02 , 5.59408E-03 
 10 , 2016 , 1619867 , 1152958 , 1.597674E-02 , 1.137162E-02 
 10 , 2017 , 127535.4 , 491686.7 , 1.172759E-03 , 4.521332E-03 
 10 , 2018 , 960634.4 , 5126018 , 8.872032E-03 , 4.734183E-02 
