State, Year, Drought$, Wet$, Droughtprop, wetprop
 36 , 1989 , 297273 , 1547081 , 1.749644E-02 , 9.105576E-02 
 36 , 1990 , 2828 , 874033 , 1.439746E-04 , 4.449735E-02 
 36 , 1991 , 901446 , 3106 , .0772783 , 2.662682E-04 
 36 , 1992 , 3692 , 1054257 , 3.80766E-04 , .1087284 
 36 , 1993 , 1074782 , 61758 , 5.042563E-02 , 2.897505E-03 
 36 , 1994 , 30434 , 211884 , 1.851679E-03 , 1.289154E-02 
 36 , 1995 , 785720 , 129369 , 8.818096E-03 , 1.451902E-03 
 36 , 1996 , 65771 , 1809804 , 8.747167E-04 , 2.406936E-02 
 36 , 1997 , 313039 , 555831 , 4.308201E-03 , 7.649628E-03 
 36 , 1998 , 338189 , 547742 , 4.089433E-03 , 6.62338E-03 
 36 , 1999 , 2978584 , 41341 , 3.120632E-02 , 4.331255E-04 
 36 , 2000 , 101380 , 8362937 , 1.024469E-03 , 8.450948E-02 
 36 , 2001 , 5056503 , 103792 , 3.989078E-02 , 8.188155E-04 
 36 , 2002 , 4230293 , 6044887 , 3.175195E-02 , 4.537202E-02 
 36 , 2003 , 66766 , 1.197976E+07 , 4.259891E-04 , 7.643483E-02 
 36 , 2004 , 13802 , 1.34284E+07 , 7.587502E-05 , 7.382119E-02 
 36 , 2005 , 3583085 , 1898387 , 1.920445E-02 , 1.017488E-02 
 36 , 2006 , 112672.4 , 1.310524E+07 , 5.847119E-04 , 6.800947E-02 
 36 , 2007 , 4883555 , 2861952 , 2.013817E-02 , 1.180175E-02 
 36 , 2008 ,-13537.7 , 3052034 ,-4.384009E-05 , 9.883616E-03 
 36 , 2009 , 17982 , 1.433696E+07 , 5.559878E-05 , 4.432863E-02 
 36 , 2010 , 589029.9 , 6494820 , 1.751146E-03 , 1.930866E-02 
 36 , 2011 , 2351563 , 3.098994E+07 , 5.293293E-03 , 6.975736E-02 
 36 , 2012 , 9741562 , 2968957 , 1.883075E-02 , 5.739089E-03 
 36 , 2013 , 58900.3 , 3.006162E+07 , 1.05414E-04 , 5.380133E-02 
 36 , 2014 , 58172.8 , 2.849602E+07 , 1.069884E-04 , .0524084 
 36 , 2015 , 750324.9 , 2.789656E+07 , 1.405002E-03 , 5.223701E-02 
 36 , 2016 , 2.90512E+07 , 1259011 , 5.522178E-02 , 2.393183E-03 
 36 , 2017 , 196644.9 , 4.674442E+07 , 3.657408E-04 , 8.694018E-02 
 36 , 2018 , 2294905 , 8613754 , 3.898469E-03 , 1.463261E-02 
