State, Year, Drought$, Wet$, Droughtprop, wetprop
 29 , 1989 , 2.075573E+07 , 924849 , 7.823895E-02 , 3.486228E-03 
 29 , 1990 , 2470018 , 5824825 , 1.343893E-02 , 3.169185E-02 
 29 , 1991 , 9250455 , 2283891 , 5.418171E-02 , 1.337719E-02 
 29 , 1992 , 1714986 , 2864340 , .0101933 , 1.702467E-02 
 29 , 1993 , 348016 , 2.752023E+07 , 2.218679E-03 , .1754476 
 29 , 1994 , 4045348 , 3579970 , 1.528872E-02 , .0135299 
 29 , 1995 , 2107350 , 5.134819E+07 , 4.403907E-03 , .1073066 
 29 , 1996 , 673709 , 1.598858E+07 , 1.232281E-03 , .0292447 
 29 , 1997 , 4713177 , 5182250 , 9.340798E-03 , 1.027043E-02 
 29 , 1998 , 2633468 , 2.39572E+07 , 4.649633E-03 , 4.229867E-02 
 29 , 1999 , 4.788612E+07 , 1.250012E+07 , 7.902751E-02 , 2.062922E-02 
 29 , 2000 , 1.422413E+07 , 3182791 , 2.009793E-02 , 4.497113E-03 
 29 , 2001 , 5058425 , 3.772287E+07 , 6.460885E-03 , 4.818162E-02 
 29 , 2002 , 6.141063E+07 , 1.648757E+07 , 7.630393E-02 , 2.048613E-02 
 29 , 2003 , 9.436573E+07 , 9636448 , .1069989 , 1.092652E-02 
 29 , 2004 , 558109 , 1.726765E+07 , 5.45439E-04 , 1.687565E-02 
 29 , 2005 , 6.180989E+07 , 8295921 , 6.470015E-02 , 8.683843E-03 
 29 , 2006 , 1.920763E+07 , 3965700 , 1.768437E-02 , .0036512 
 29 , 2007 , 2.566335E+07 , 4.050372E+07 , 1.642979E-02 , 2.593066E-02 
 29 , 2008 , 1.047741E+07 , 2.554684E+08 , 4.685837E-03 , .1142538 
 29 , 2009 , 56160.22 , 9.786333E+07 , 2.83582E-05 , 4.941627E-02 
 29 , 2010 , 5820406 , 2.330883E+08 , 2.754579E-03 , .1103119 
 29 , 2011 , 1.681198E+08 , 1.967951E+08 , 4.965771E-02 , 5.812756E-02 
 29 , 2012 , 1.041794E+09 , 1.863372E+07 , .2989873 , 5.347742E-03 
 29 , 2013 , 2.306427E+08 , 1.569373E+08 , 6.014942E-02 , 4.092775E-02 
 29 , 2014 , 6072717 , 7.151355E+07 , 1.794202E-03 , 2.112888E-02 
 29 , 2015 , 3298485 , 5.013977E+08 , .0011116 , .1689727 
 29 , 2016 , 3262839 , 6.123526E+07 , 1.104105E-03 , 2.072127E-02 
 29 , 2017 , 1.900002E+07 , 8.390546E+07 , 5.782688E-03 , 2.553676E-02 
 29 , 2018 , 1.550068E+08 , 2.848186E+07 , 4.439784E-02 , 8.15792E-03 
