State, Year, Drought$, Wet$, Droughtprop, wetprop
 23 , 1989 , 42998 , 16021 , 1.016703E-02 , 3.788223E-03 
 23 , 1990 , 45737 , 127648 , 1.329579E-02 , 3.710739E-02 
 23 , 1991 , 193740 , 6447 , .081347 , 2.706948E-03 
 23 , 1992 , 308 , 1231 , 1.968734E-04 , 7.868545E-04 
 23 , 1993 , 30553 , 257933 , 2.474855E-02 , .208931 
 23 , 1994 , 141497 , 9520 , 1.385549E-02 , 9.322055E-04 
 23 , 1995 , 3157531 , 8526 , 5.967058E-02 , 1.611232E-04 
 23 , 1996 , 21740 , 821472 , 4.841285E-04 , 1.829338E-02 
 23 , 1997 , 495764 , 132539 , 1.255999E-02 , 3.357825E-03 
 23 , 1998 , 140627 , 341207 , 3.901208E-03 , 9.465604E-03 
 23 , 1999 , 353308 , 1651136 , 7.684042E-03 , .0359103 
 23 , 2000 , 75233 , 945281 , 1.596052E-03 , 2.005393E-02 
 23 , 2001 , 925079 , 0 , 1.868141E-02 , 0 
 23 , 2002 , 1040442 , 8494 , 2.110679E-02 , 1.723124E-04 
 23 , 2003 , 198353 , 2896314 , 3.49122E-03 , 5.097815E-02 
 23 , 2004 , 0 , 8288684 , 0 , .1590105 
 23 , 2005 , 750338.6 , 5490368 , 1.288364E-02 , .094272 
 23 , 2006 , 7128 , 2001352 , 1.23306E-04 , 3.462103E-02 
 23 , 2007 , 259713.7 , 533758.4 , 4.384618E-03 , 9.011179E-03 
 23 , 2008 , 5101 , 4041738 , 7.39587E-05 , .0586006 
 23 , 2009 , 235331.3 , 2673830 , 3.04487E-03 , 3.459576E-02 
 23 , 2010 , 728960.9 , 83856.5 , 1.018819E-02 , 1.172005E-03 
 23 , 2011 , 2161.39 , 9330801 , 2.789805E-05 , .1204369 
 23 , 2012 , 1538745 , 753071.3 , 1.810504E-02 , 8.860718E-03 
 23 , 2013 , 1026 , 1.140214E+07 , 1.162207E-05 , .1291583 
 23 , 2014 , 174460.7 , 1561555 , 2.019403E-03 , 1.807518E-02 
 23 , 2015 , 11369.69 , 7632983 , 1.389309E-04 , 9.327056E-02 
 23 , 2016 , 748829.3 , 3059226 , 9.987923E-03 , 4.080411E-02 
 23 , 2017 , 1015528 , 635625.9 , 1.296417E-02 , 8.114363E-03 
 23 , 2018 , 909528.1 , 34662.4 , 1.154115E-02 , 4.398366E-04 
