State, Year, Drought$, Wet$, Droughtprop, wetprop
 56 , 1989 , 2329414 , 43314 , 7.878713E-02 , 1.464998E-03 
 56 , 1990 , 288800 , 63152 , 9.241144E-03 , 2.020764E-03 
 56 , 1991 , 62575 , 113305 , 2.049773E-03 , 3.711539E-03 
 56 , 1992 , 290696 , 16612 , 9.736257E-03 , 5.563843E-04 
 56 , 1993 , 20006 , 366352 , 6.567736E-04 , 1.202691E-02 
 56 , 1994 , 234335 , 113880 , 6.724049E-03 , 3.267693E-03 
 56 , 1995 , 13366 , 337294 , 2.485978E-04 , 6.273421E-03 
 56 , 1996 , 121812 , 111519 , 2.234739E-03 , 2.045906E-03 
 56 , 1997 , 35736 , 386737 , 7.143567E-04 , 7.730808E-03 
 56 , 1998 , 39338 , 229785 , 8.663184E-04 , 5.060424E-03 
 56 , 1999 , 38767 , 303729 , 7.452102E-04 , 5.838521E-03 
 56 , 2000 , 817316 , 134035 , 1.473686E-02 , 2.416758E-03 
 56 , 2001 , 3948101 , 32565 , 8.823428E-02 , 7.277801E-04 
 56 , 2002 , 1.001393E+07 , 106135 , .1976112 , 2.094429E-03 
 56 , 2003 , 3022455 , 59889 , 4.867585E-02 , 9.644968E-04 
 56 , 2004 , 1.081814E+07 , 165019 , .1639673 , 2.501143E-03 
 56 , 2005 , 3316603 , 583318.3 , 3.572428E-02 , 6.283124E-03 
 56 , 2006 , 3457676 , 17325 , 3.857027E-02 , 1.932599E-04 
 56 , 2007 , 4913824 , 98890.4 , 4.833187E-02 , 9.726759E-04 
 56 , 2008 , 1554117 , 2142063 , 1.148507E-02 , 1.583004E-02 
 56 , 2009 , 133514.7 , 2514159 , 1.047459E-03 , 1.972426E-02 
 56 , 2010 , 89372.75 , 1878712 , 8.483235E-04 , 1.783268E-02 
 56 , 2011 , 155947.2 , 2468854 , 1.220531E-03 , 1.932264E-02 
 56 , 2012 , 6364329 , 63194.94 , 4.554257E-02 , 4.522174E-04 
 56 , 2013 , 6991458 , 2025297 , 4.840084E-02 , 1.402084E-02 
 56 , 2014 , 89583 , 1574560 , 6.959649E-04 , 1.223266E-02 
 56 , 2015 , 62495.5 , 1762285 , 5.218887E-04 , 1.471653E-02 
 56 , 2016 , 2430635 , 1547460 , 1.867708E-02 , 1.189073E-02 
 56 , 2017 , 2123507 , 1095159 , 1.656739E-02 , 8.544321E-03 
 56 , 2018 , 120091.5 , 747364.7 , 8.315009E-04 , 5.174674E-03 
