State, Year, Drought$, Wet$, Droughtprop, wetprop
 16 , 1989 , 1865786 , 517390 , 1.621925E-02 , 4.497663E-03 
 16 , 1990 , 1759217 , 585188 , 1.477852E-02 , 4.915943E-03 
 16 , 1991 , 876353 , 1078793 , 9.199152E-03 , 1.132418E-02 
 16 , 1992 , 4025901 , 161486 , 4.270019E-02 , 1.71278E-03 
 16 , 1993 , 9866 , 1386656 , 9.440778E-05 , 1.326892E-02 
 16 , 1994 , 1627594 , 40695 , .0166586 , 4.165176E-04 
 16 , 1995 , 5492 , 1068066 , 1.846098E-05 , 3.590231E-03 
 16 , 1996 , 375255 , 910606 , 1.826143E-03 , 4.431378E-03 
 16 , 1997 , 29537 , 1013864 , 1.509853E-04 , 5.182604E-03 
 16 , 1998 , 7215 , 891612 , 3.112043E-05 , 3.845786E-03 
 16 , 1999 , 532659 , 1930057 , 1.789286E-03 , 6.483368E-03 
 16 , 2000 , 1349367 , 379699 , 4.273503E-03 , 1.202523E-03 
 16 , 2001 , 4966133 , 769042 , 1.522953E-02 , 2.358405E-03 
 16 , 2002 , 4769819 , 674610 , .0115912 , 1.639379E-03 
 16 , 2003 , 1.13538E+07 , 3824416 , 2.408991E-02 , 8.114449E-03 
 16 , 2004 , 3464623 , 6834039 , 6.901912E-03 , 1.361416E-02 
 16 , 2005 , 5150072 , 8278114 , 9.869564E-03 , 1.586412E-02 
 16 , 2006 , 1203545 , 1930773 , 2.381627E-03 , 3.820697E-03 
 16 , 2007 , 6491658 , 464675.5 , 1.114615E-02 , 7.978456E-04 
 16 , 2008 , 2.090182E+07 , 5586397 , 2.836579E-02 , 7.581282E-03 
 16 , 2009 , 7804619 , 1.467918E+07 , 8.103961E-03 , 1.524219E-02 
 16 , 2010 , 1851813 , 8140000 , 2.406424E-03 , .0105779 
 16 , 2011 , 90254.8 , 3.555279E+07 , 8.836856E-05 , 3.480978E-02 
 16 , 2012 , 4359343 , 4107501 , 4.087074E-03 , 3.850961E-03 
 16 , 2013 , 1.227998E+07 , 1568578 , 1.107954E-02 , 1.415241E-03 
 16 , 2014 , 1.384183E+07 , 2.500888E+07 , 1.371478E-02 , 2.477932E-02 
 16 , 2015 , 2.892266E+07 , 2863917 , 3.002656E-02 , 2.973225E-03 
 16 , 2016 , 1661936 , 9702714 , 1.869103E-03 , .0109122 
 16 , 2017 , 2379570 , 2.5272E+07 , 2.848151E-03 , 3.024852E-02 
 16 , 2018 , 2214194 , 4773281 , 2.458604E-03 , 5.300171E-03 
