State, Year, Drought$, Wet$, Droughtprop, wetprop
 33 , 1989 , 0 , 0 ,-1.#IND ,-1.#IND 
 33 , 1990 , 0 , 0 ,-1.#IND ,-1.#IND 
 33 , 1991 , 0 , 0 ,-1.#IND ,-1.#IND 
 33 , 1992 , 0 , 0 ,-1.#IND ,-1.#IND 
 33 , 1993 , 61 , 0 , 1.100866E-04 , 0 
 33 , 1994 , 0 , 0 , 0 , 0 
 33 , 1995 , 0 , 0 , 0 , 0 
 33 , 1996 , 4103 , 1541 , 1.399343E-03 , 5.255635E-04 
 33 , 1997 , 0 , 0 , 0 , 0 
 33 , 1998 , 1002 , 19667 , 3.244181E-04 , 6.367595E-03 
 33 , 1999 , 5324 , 474 , 1.893125E-03 , 1.685465E-04 
 33 , 2000 , 5921 , 68729 , 2.414223E-03 , .0280235 
 33 , 2001 , 47300 , 2357 , 1.400926E-02 , 6.980934E-04 
 33 , 2002 , 96813 , 11553 , 2.723929E-02 , 3.250551E-03 
 33 , 2003 , 5886 , 12150 , 1.515209E-03 , 3.127726E-03 
 33 , 2004 , 0 , 13987 , 0 , 3.270286E-03 
 33 , 2005 , 1454 , 78795.8 , 3.779738E-04 , 2.048332E-02 
 33 , 2006 , 0 , 178927.5 , 0 , 5.165244E-02 
 33 , 2007 , 1089.6 , 2542.4 , 2.486431E-04 , 5.801673E-04 
 33 , 2008 , 0 , 139435.7 , 0 , 2.690797E-02 
 33 , 2009 , 0 , 98334 , 0 , 2.440849E-02 
 33 , 2010 , 30111 , 0 , 6.623126E-03 , 0 
 33 , 2011 , 0 , 120716 , 0 , 2.194507E-02 
 33 , 2012 , 10979 , 1409 , 1.789346E-03 , 2.296374E-04 
 33 , 2013 , 0 , 155422 , 0 , 2.478972E-02 
 33 , 2014 , 835.2 , 18124.06 , 1.419177E-04 , 3.079651E-03 
 33 , 2015 , 0 , 3613.87 , 0 , 6.466396E-04 
 33 , 2016 , 399987.7 , 218890.2 , 8.635415E-02 , 4.725665E-02 
 33 , 2017 , 1004.4 , 39024 , 2.481128E-04 , 9.639937E-03 
 33 , 2018 , 15849.85 , 72731 , 3.366604E-03 , 1.544851E-02 
