State, Year, Drought$, Wet$, Droughtprop, wetprop
 55 , 1989 , 6330249 , 679121 , 2.171035E-02 , 2.329127E-03 
 55 , 1990 , 428666 , 5491508 , 2.351925E-03 , 3.012978E-02 
 55 , 1991 , 2746543 , 2339216 , 2.468022E-02 , 2.102001E-02 
 55 , 1992 , 4466814 , 5480846 , 3.832931E-02 , 4.703063E-02 
 55 , 1993 , 42125 , 3.414743E+07 , 2.303976E-04 , .1867653 
 55 , 1994 , 847740 , 4363391 , 3.127359E-03 , 1.609679E-02 
 55 , 1995 , 4873590 , 2467198 , 9.307749E-03 , 4.711939E-03 
 55 , 1996 , 3646682 , 2.322627E+07 , 6.309694E-03 , .0401874 
 55 , 1997 , 944937 , 2821006 , 2.094655E-03 , 6.253363E-03 
 55 , 1998 , 5827552 , 2332202 , 1.163897E-02 , 4.657949E-03 
 55 , 1999 , 1098161 , 7212622 , 2.187322E-03 , 1.436613E-02 
 55 , 2000 , 2778523 , 1.434161E+07 , .004862 , 2.509567E-02 
 55 , 2001 , 1.745939E+07 , 3.116722E+07 , 3.064826E-02 , 5.471103E-02 
 55 , 2002 , 1.738681E+07 , 1.436605E+07 , 2.859933E-02 , 2.363053E-02 
 55 , 2003 , 7.039938E+07 , 2296898 , .1007998 , 3.288762E-03 
 55 , 2004 , 9557839 , 9.771822E+07 , .0113323 , .1158601 
 55 , 2005 , 2.670592E+07 , 753226.6 , 3.223552E-02 , 9.091861E-04 
 55 , 2006 , 4.303E+07 , 7096467 , 4.282905E-02 , 7.063326E-03 
 55 , 2007 , 9.877277E+07 , 3317735 , 6.390573E-02 , 2.146566E-03 
 55 , 2008 , 1.100194E+08 , 7.039828E+07 , 5.348893E-02 , 3.422604E-02 
 55 , 2009 , 4.575588E+07 , 1.75719E+07 , 2.522851E-02 , 9.688651E-03 
 55 , 2010 , 308133.8 , 4.531551E+07 , 1.688372E-04 , 2.482994E-02 
 55 , 2011 , 1.242858E+07 , 2.596591E+07 , 4.574575E-03 , 9.557246E-03 
 55 , 2012 , 3.667311E+08 , 5459381 , .1295984 , 1.92928E-03 
 55 , 2013 , 2.23161E+08 , 1.439495E+08 , 7.365912E-02 , 4.751365E-02 
 55 , 2014 , 2.721093E+07 , 1.567933E+08 , 1.040443E-02 , 5.995183E-02 
 55 , 2015 , 1.024052E+07 , 2.535422E+07 , 4.325256E-03 , 1.070878E-02 
 55 , 2016 , 1899758 , 2.016877E+07 , 8.457431E-04 , 8.978827E-03 
 55 , 2017 , 871522.4 , 8.065601E+07 , 3.707063E-04 , 3.430743E-02 
 55 , 2018 , 2.399022E+07 , 3.418078E+07 , .0101133 , 1.440923E-02 
