State, Year, Drought$, Wet$, Droughtprop, wetprop
 18 , 1989 , 655524 , 9263942 , 1.522288E-03 , 2.151315E-02 
 18 , 1990 , 158927 , 8033384 , 5.032377E-04 , 2.543748E-02 
 18 , 1991 , 3.414768E+07 , 1212301 , .1138828 , 4.043033E-03 
 18 , 1992 , 478566 , 5254955 , 1.238186E-03 , 1.359606E-02 
 18 , 1993 , 323839 , 8430447 , 8.819837E-04 , 2.296053E-02 
 18 , 1994 , 2758294 , 1398479 , 6.477945E-03 , 3.284374E-03 
 18 , 1995 , 1.753625E+07 , 9713221 , .0197698 , 1.095037E-02 
 18 , 1996 , 6471003 , 3.218088E+07 , 6.927239E-03 , 3.444978E-02 
 18 , 1997 , 1.354337E+07 , 1.324311E+07 , 1.588243E-02 , 1.553031E-02 
 18 , 1998 , 2365553 , 3.820094E+07 , 2.348762E-03 , 3.792978E-02 
 18 , 1999 , 3.548003E+07 , 4062672 , 3.296185E-02 , 3.774325E-03 
 18 , 2000 , 7061081 , 1.436731E+07 , .0050103 , 1.019455E-02 
 18 , 2001 , 5143810 , 6703044 , 3.582098E-03 , 4.667933E-03 
 18 , 2002 , 9.227386E+07 , 2.622577E+07 , 6.424557E-02 , 1.825966E-02 
 18 , 2003 , 8712677 , 8.890198E+07 , 5.290951E-03 , 5.398754E-02 
 18 , 2004 , 1501177 , 3.630948E+07 , 7.424087E-04 , 1.795689E-02 
 18 , 2005 , 1.562077E+07 , 6464049 , 7.837479E-03 , 3.243236E-03 
 18 , 2006 , 885759.4 , 3.20541E+07 , 3.831896E-04 , 1.386697E-02 
 18 , 2007 , 6.432034E+07 , 3899667 , 1.842357E-02 , 1.116999E-03 
 18 , 2008 , 6.347305E+07 , 1.408748E+08 , 1.377099E-02 , 3.056392E-02 
 18 , 2009 , 9727913 , 6.379227E+07 , 2.599516E-03 , 1.704672E-02 
 18 , 2010 , 2.70075E+07 , 7.365862E+07 , 7.185139E-03 , 1.959631E-02 
 18 , 2011 , 1.153574E+08 , 9.551426E+07 , 1.992758E-02 , 1.649975E-02 
 18 , 2012 , 1.062812E+09 , 6722805 , .1844812 , 1.166934E-03 
 18 , 2013 , 1.883812E+07 , 6.968963E+07 , 2.989358E-03 , 1.105881E-02 
 18 , 2014 , 2805873 , 4.039775E+07 , 5.432487E-04 , 7.821461E-03 
 18 , 2015 , 1077791 , 3.743807E+08 , 2.309593E-04 , 8.022586E-02 
 18 , 2016 , 5769363 , 5.006039E+07 , 1.302828E-03 , 1.130455E-02 
 18 , 2017 , 6736666 , 9.492684E+07 , 1.405939E-03 , 1.981119E-02 
 18 , 2018 , 7983865 , 3.117646E+07 , 1.589806E-03 , 6.208085E-03 
